region_key,state,texture_class,SM0,SMFCF,SMW,CRAIRC,SOPE,KSUB,RDMSOL,WAV,method,source
ia,IA,silty clay loam,0.47,0.37,0.21,0.06,10.0,10.0,150,15.6,"water-retention parameters from the region's dominant corn-area texture class; RDMSOL from typical profile depth; WAV = 0.65 x (SMFCF - SMW) x RDMSOL, the fraction being 0.65 in the humid Corn Belt and 0.50 in the drier west. A documented modelling choice, not a soil survey -- see README","texture-class water retention: standard USDA texture-class values as used in the WOFOST soil series; CRAIRC/SOPE/KSUB carried over from PCSE's DummySoilDataProvider (generic, not regional)"
il,IL,silt loam,0.45,0.33,0.15,0.06,10.0,10.0,150,17.6,"water-retention parameters from the region's dominant corn-area texture class; RDMSOL from typical profile depth; WAV = 0.65 x (SMFCF - SMW) x RDMSOL, the fraction being 0.65 in the humid Corn Belt and 0.50 in the drier west. A documented modelling choice, not a soil survey -- see README","texture-class water retention: standard USDA texture-class values as used in the WOFOST soil series; CRAIRC/SOPE/KSUB carried over from PCSE's DummySoilDataProvider (generic, not regional)"
in,IN,silt loam,0.45,0.33,0.15,0.06,10.0,10.0,140,16.4,"water-retention parameters from the region's dominant corn-area texture class; RDMSOL from typical profile depth; WAV = 0.65 x (SMFCF - SMW) x RDMSOL, the fraction being 0.65 in the humid Corn Belt and 0.50 in the drier west. A documented modelling choice, not a soil survey -- see README","texture-class water retention: standard USDA texture-class values as used in the WOFOST soil series; CRAIRC/SOPE/KSUB carried over from PCSE's DummySoilDataProvider (generic, not regional)"
oh,OH,silt loam,0.45,0.33,0.15,0.06,10.0,10.0,130,15.2,"water-retention parameters from the region's dominant corn-area texture class; RDMSOL from typical profile depth; WAV = 0.65 x (SMFCF - SMW) x RDMSOL, the fraction being 0.65 in the humid Corn Belt and 0.50 in the drier west. A documented modelling choice, not a soil survey -- see README","texture-class water retention: standard USDA texture-class values as used in the WOFOST soil series; CRAIRC/SOPE/KSUB carried over from PCSE's DummySoilDataProvider (generic, not regional)"
mo,MO,silt loam,0.45,0.33,0.15,0.06,10.0,10.0,130,15.2,"water-retention parameters from the region's dominant corn-area texture class; RDMSOL from typical profile depth; WAV = 0.65 x (SMFCF - SMW) x RDMSOL, the fraction being 0.65 in the humid Corn Belt and 0.50 in the drier west. A documented modelling choice, not a soil survey -- see README","texture-class water retention: standard USDA texture-class values as used in the WOFOST soil series; CRAIRC/SOPE/KSUB carried over from PCSE's DummySoilDataProvider (generic, not regional)"
mn,MN,loam,0.43,0.3,0.14,0.06,10.0,10.0,130,13.5,"water-retention parameters from the region's dominant corn-area texture class; RDMSOL from typical profile depth; WAV = 0.65 x (SMFCF - SMW) x RDMSOL, the fraction being 0.65 in the humid Corn Belt and 0.50 in the drier west. A documented modelling choice, not a soil survey -- see README","texture-class water retention: standard USDA texture-class values as used in the WOFOST soil series; CRAIRC/SOPE/KSUB carried over from PCSE's DummySoilDataProvider (generic, not regional)"
sd,SD,loam,0.43,0.3,0.14,0.06,10.0,10.0,120,12.5,"water-retention parameters from the region's dominant corn-area texture class; RDMSOL from typical profile depth; WAV = 0.65 x (SMFCF - SMW) x RDMSOL, the fraction being 0.65 in the humid Corn Belt and 0.50 in the drier west. A documented modelling choice, not a soil survey -- see README","texture-class water retention: standard USDA texture-class values as used in the WOFOST soil series; CRAIRC/SOPE/KSUB carried over from PCSE's DummySoilDataProvider (generic, not regional)"
wi,WI,loam,0.43,0.3,0.14,0.06,10.0,10.0,120,12.5,"water-retention parameters from the region's dominant corn-area texture class; RDMSOL from typical profile depth; WAV = 0.65 x (SMFCF - SMW) x RDMSOL, the fraction being 0.65 in the humid Corn Belt and 0.50 in the drier west. A documented modelling choice, not a soil survey -- see README","texture-class water retention: standard USDA texture-class values as used in the WOFOST soil series; CRAIRC/SOPE/KSUB carried over from PCSE's DummySoilDataProvider (generic, not regional)"
ne_irrigated,NE,loam,0.43,0.3,0.14,0.06,10.0,10.0,120,9.6,"water-retention parameters from the region's dominant corn-area texture class; RDMSOL from typical profile depth; WAV = 0.5 x (SMFCF - SMW) x RDMSOL, the fraction being 0.65 in the humid Corn Belt and 0.50 in the drier west. A documented modelling choice, not a soil survey -- see README This is an irrigation stratum of a state node 1 split: it inherits its state's texture class and profile depth unchanged, so the only deliberate differences between a state's two strata are the water regime (water_regime.csv) and the weather at their own points. Per-stratum soils are a documented follow-up, not this brief","texture-class water retention: standard USDA texture-class values as used in the WOFOST soil series; CRAIRC/SOPE/KSUB carried over from PCSE's DummySoilDataProvider (generic, not regional)"
ne_rainfed,NE,loam,0.43,0.3,0.14,0.06,10.0,10.0,120,9.6,"water-retention parameters from the region's dominant corn-area texture class; RDMSOL from typical profile depth; WAV = 0.5 x (SMFCF - SMW) x RDMSOL, the fraction being 0.65 in the humid Corn Belt and 0.50 in the drier west. A documented modelling choice, not a soil survey -- see README This is an irrigation stratum of a state node 1 split: it inherits its state's texture class and profile depth unchanged, so the only deliberate differences between a state's two strata are the water regime (water_regime.csv) and the weather at their own points. Per-stratum soils are a documented follow-up, not this brief","texture-class water retention: standard USDA texture-class values as used in the WOFOST soil series; CRAIRC/SOPE/KSUB carried over from PCSE's DummySoilDataProvider (generic, not regional)"
